"","VotesAgainst2017","VotesAgainst2015","VotesAgainst2016","VotesAgainst2014","VotesAgainst2013","VotesAgainst2012","VotesAgainst2011"
"fll000041",NA,0.974630021141649,0.952755905511811,0.957055214723926,0.939698492462312,NA,NA
"fll000160",NA,NA,NA,0.0163934426229508,NA,NA,NA
"fll000158",NA,NA,NA,0,NA,NA,NA
"fll000267",NA,NA,NA,0.0901639344262295,NA,NA,NA
"fll000481",0.887550200803213,NA,NA,NA,NA,NA,NA
"fll000414",0.957364341085271,NA,NA,NA,NA,NA,NA
"fll000037",NA,0.967302452316076,0.936908517350158,0.955555555555556,0.965346534653465,0.888059701492537,0.884615384615385
"fll000332",NA,NA,NA,0.0245901639344262,NA,NA,NA
"fll000054",NA,0.946564885496183,0.963380281690141,0.949720670391061,0.975247524752475,NA,NA
"fll000434",0.985207100591716,NA,NA,NA,NA,NA,NA
"fll000107",NA,NA,NA,0.0153846153846154,NA,NA,NA
"fll000116",NA,NA,NA,0.00819672131147541,NA,NA,NA
"fll000045",NA,NA,NA,0.0504201680672269,NA,NA,NA
"fll000209",NA,NA,NA,0.1,NA,NA,NA
"fll000056",NA,NA,NA,0.00840336134453781,NA,NA,NA
"fll000030",NA,NA,NA,NA,NA,0.864661654135338,0.873417721518987
"fll000152",NA,NA,NA,0.110169491525424,NA,NA,NA
"fll000482",0.979094076655052,NA,NA,NA,NA,NA,NA
"fll000458",0.936363636363636,NA,NA,NA,NA,NA,NA
"fll000133",NA,NA,NA,0.107438016528926,NA,NA,NA
"fll000015",NA,0.971066907775769,0.975903614457831,0.621052631578947,0.979487179487179,0.902985074626866,0.943396226415094
"fll000075",NA,NA,NA,0.0288461538461538,NA,NA,NA
"fll000127",NA,NA,NA,0.1,NA,NA,NA
"fll000119",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000025",NA,0.979966611018364,0.959459459459459,0.977401129943503,0.973821989528796,0.916030534351145,0.915032679738562
"fll000199",NA,0.992452830188679,0.989637305699482,0.966480446927374,0.970443349753695,NA,NA
"fll000011",NA,NA,NA,NA,NA,0.860655737704918,0.937106918238994
"fll000282",NA,NA,NA,0.0975609756097561,NA,NA,NA
"fll000083",NA,NA,NA,0.0327868852459016,NA,NA,NA
"fll000032",NA,0.973577235772358,0.948402948402948,0.977653631284916,0.965,0.917293233082707,0.9375
"fll000014",NA,0.979763912310287,0.965973534971645,0.954022988505747,0.95,0.922480620155039,0.941935483870968
"fll000006",NA,0.979057591623037,0.957317073170732,0.966850828729282,0.945812807881773,0.887218045112782,0.873417721518987
"fll000129",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000295",NA,NA,NA,0.121951219512195,NA,NA,NA
"fll000257",NA,NA,NA,0.0891089108910891,NA,NA,NA
"fll000500",0.880851063829787,NA,NA,NA,NA,NA,NA
"fll000234",NA,NA,NA,0.0725806451612903,NA,NA,NA
"fll000478",0.902654867256637,NA,NA,NA,NA,NA,NA
"fll000260",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000060",NA,NA,NA,0.0598290598290598,NA,NA,NA
"fll000106",NA,NA,NA,0,NA,NA,NA
"fll000001",NA,NA,NA,NA,NA,0.934426229508197,0.923076923076923
"fll000040",NA,NA,NA,NA,NA,0.901515151515151,0.94375
"fll000009",NA,0.99171270718232,0.951768488745981,0.95679012345679,0.984771573604061,0.969924812030075,0.968354430379747
"fll000035",NA,NA,NA,NA,NA,0.946564885496183,0.91025641025641
"fll000114",NA,NA,NA,0.130081300813008,NA,NA,NA
"fll000084",NA,NA,NA,0.0491803278688525,NA,NA,NA
"fll000112",NA,NA,NA,0.040650406504065,NA,NA,NA
"fll000086",NA,0.985576923076923,0.969543147208122,0.981818181818182,0.980392156862745,NA,NA
"fll000043",NA,NA,NA,0.0241935483870968,NA,NA,NA
"fll000333",NA,NA,NA,0.0887096774193548,NA,NA,NA
"fll000143",NA,0.925636007827789,0.952755905511811,0.977142857142857,0.98,NA,NA
"fll000002",NA,0.983091787439614,0.987012987012987,0.954838709677419,0.98936170212766,0.932835820895522,0.956521739130435
"fll000141",NA,0.96551724137931,0.957507082152975,0.967032967032967,0.955665024630542,NA,NA
"fll000138",NA,NA,NA,0.108333333333333,NA,NA,NA
"fll000235",NA,NA,NA,0.024390243902439,NA,NA,NA
"fll000012",NA,0.985994397759104,0.975,0.966292134831461,0.97029702970297,0.947761194029851,0.947368421052632
"fll000470",0.9453125,NA,NA,NA,NA,NA,NA
"fll000047",NA,NA,NA,0.016260162601626,NA,NA,NA
"fll000427",1,NA,NA,NA,NA,NA,NA
"fll000018",NA,NA,NA,NA,NA,0.932330827067669,0.947019867549669
"fll000063",NA,NA,NA,0.0782608695652174,NA,NA,NA
"fll000031",NA,0.992141453831041,0.978174603174603,0.988826815642458,0.98,0.923664122137405,0.924528301886792
"fll000109",NA,NA,NA,0.0166666666666667,NA,NA,NA
"fll000038",NA,NA,NA,NA,NA,0.952,0.942307692307692
"fll000003",NA,0.995275590551181,0.983606557377049,0.959770114942529,0.979695431472081,0.925373134328358,0.92258064516129
"fll000309",NA,NA,NA,0.0916666666666667,NA,NA,NA
"fll000044",NA,NA,NA,0.0166666666666667,NA,NA,NA
"fll000142",NA,NA,NA,0.115702479338843,NA,NA,NA
"fll000476",0.9375,NA,NA,NA,NA,NA,NA
"fll000016",NA,0.991525423728814,0.988372093023256,0.953488372093023,0.938144329896907,0.946153846153846,0.932885906040268
"fll000146",NA,NA,NA,0.0661157024793388,NA,NA,NA
"fll000027",NA,0.972324723247233,0.977035490605428,0.968,0.962025316455696,0.9140625,0.9375
"fll000108",NA,NA,NA,0.024390243902439,NA,NA,NA
"fll000051",NA,NA,NA,0.0508474576271186,NA,NA,NA
"fll000168",0.980769230769231,0.988135593220339,0.968599033816425,0.972375690607735,0.975,NA,NA
"fll000440",0.957928802588997,NA,NA,NA,NA,NA,NA
"fll000467",0.994350282485876,NA,NA,NA,NA,NA,NA
"fll000233",NA,NA,NA,0.0403225806451613,NA,NA,NA
"fll000070",NA,NA,NA,0.025,NA,NA,NA
"fll000236",NA,NA,NA,0.0775862068965517,NA,NA,NA
"fll000023",NA,0.990196078431373,0.96029776674938,0.964912280701754,0.984536082474227,0.932330827067669,0.947019867549669
"fll000285",NA,NA,NA,0.0806451612903226,NA,NA,NA
"fll000446",0.981191222570533,NA,NA,NA,NA,NA,NA
"fll000065",NA,NA,NA,0.00847457627118644,NA,NA,NA
"fll000039",NA,NA,NA,0.971910112359551,0.974874371859296,0.925373134328358,0.94375
"fll000190",NA,0.990476190476191,0.986013986013986,0.592982456140351,0.989637305699482,NA,NA
"fll000284",NA,NA,NA,0.0975609756097561,NA,NA,NA
"fll000286",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000392",NA,NA,NA,NA,NA,NA,NA
"fll000034",NA,0.998322147651007,0.99054820415879,0.982954545454545,0.979695431472081,0.940298507462687,0.955696202531646
"fll000213",NA,NA,NA,0.040650406504065,NA,NA,NA
"fll000132",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000057",NA,0.935933147632312,0.91025641025641,0.955555555555556,0.907142857142857,NA,NA
"fll000147",NA,0.961070559610706,0.96309963099631,0.94413407821229,0.927835051546392,NA,NA
"fll000448",0.9725,NA,NA,NA,NA,NA,NA
"fll000491",0.977168949771689,NA,NA,NA,NA,NA,NA
"fll000088",NA,NA,NA,0.016260162601626,NA,NA,NA
"fll000145",NA,NA,NA,0.032258064516129,NA,NA,NA
"fll000102",NA,0.971014492753623,0.956140350877193,0.971751412429379,0.97029702970297,NA,NA
"fll000094",NA,0.969289827255278,0.973913043478261,0.950617283950617,0.96551724137931,NA,NA
"fll000250",NA,NA,NA,0.0119047619047619,NA,NA,NA
"fll000095",NA,NA,NA,0.032258064516129,NA,NA,NA
"fll000154",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000294",NA,NA,NA,0.032520325203252,NA,NA,NA
"fll000053",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000460",0.99468085106383,NA,NA,NA,NA,NA,NA
"fll000069",NA,NA,NA,0.0813008130081301,NA,NA,NA
"fll000130",NA,NA,NA,0,NA,NA,NA
"fll000049",NA,NA,NA,0.0983606557377049,NA,NA,NA
"fll000442",0.996039603960396,NA,NA,NA,NA,NA,NA
"fll000454",0.930131004366812,NA,NA,NA,NA,NA,NA
"fll000091",NA,NA,NA,0,NA,NA,NA
"fll000462",0.899159663865546,NA,NA,NA,NA,NA,NA
"fll000307",NA,NA,NA,0.0967741935483871,NA,NA,NA
"fll000131",NA,NA,NA,0.0854700854700855,NA,NA,NA
"fll000121",NA,NA,NA,0.0267857142857143,NA,NA,NA
"fll000161",NA,NA,NA,0.040983606557377,NA,NA,NA
"fll000437",0.931034482758621,NA,NA,NA,NA,NA,NA
"fll000126",NA,NA,NA,0.032520325203252,NA,NA,NA
"fll000164",NA,0.953125,0.965014577259475,0.960674157303371,0.975,0.909090909090909,NA
"fll000283",NA,NA,NA,0.0208333333333333,NA,NA,NA
"fll000059",NA,NA,NA,0.032258064516129,NA,NA,NA
"fll000485",0.98974358974359,NA,NA,NA,NA,NA,NA
"fll000170",NA,0.957692307692308,0.962593516209476,0.971910112359551,0.97979797979798,NA,NA
"fll000276",NA,NA,NA,0.00847457627118644,NA,NA,NA
"fll000469",0.938650306748466,NA,NA,NA,NA,NA,NA
"fll000287",NA,NA,NA,0.0163934426229508,NA,NA,NA
"fll000452",0.983240223463687,NA,NA,NA,NA,NA,NA
"fll000105",NA,NA,NA,0,NA,NA,NA
"fll000024",NA,NA,NA,NA,NA,0.955223880597015,0.93125
"fll000277",NA,NA,NA,0.00833333333333333,NA,NA,NA
"fll000238",NA,NA,NA,0.0161290322580645,NA,NA,NA
"fll000426",1,NA,NA,NA,NA,NA,NA
"fll000310",NA,NA,NA,0.00806451612903226,NA,NA,NA
"fll000128",NA,NA,NA,0.0869565217391304,NA,NA,NA
"fll000253",NA,0.963917525773196,0.982698961937716,0.0169491525423729,NA,NA,NA
"fll000423",0.975138121546961,NA,NA,NA,NA,NA,NA
"fll000066",NA,NA,NA,0.0327868852459016,NA,NA,NA
"fll000115",NA,NA,NA,0.00806451612903226,NA,NA,NA
"fll000159",NA,NA,NA,0.0170940170940171,NA,NA,NA
"fll000019",NA,0.988599348534202,0.972920696324952,0.982758620689655,0.980295566502463,0.924812030075188,0.936708860759494
"fll000113",NA,NA,NA,0.0166666666666667,NA,NA,NA
"fll000064",NA,0.953667953667954,0.951219512195122,0.956043956043956,0.939393939393939,NA,NA
"fll000148",NA,NA,NA,0.11864406779661,NA,NA,NA
"fll000055",NA,NA,NA,0.0327868852459016,NA,NA,NA
"fll000022",NA,0.941176470588235,0.915637860082305,0.921348314606742,0.901960784313726,0.849624060150376,0.878980891719745
"fll000256",NA,NA,NA,0.0727272727272727,NA,NA,NA
"fll000081",NA,NA,NA,0.0983606557377049,NA,NA,NA
"fll000395",NA,0.987893462469734,0.961538461538462,NA,NA,NA,NA
"fll000417",0.933491686460808,NA,NA,NA,NA,NA,NA
"fll000090",NA,NA,NA,0.00847457627118644,NA,NA,NA
"fll000292",NA,NA,NA,0.0991735537190083,NA,NA,NA
"fll000150",NA,NA,NA,0.0564516129032258,NA,NA,NA
"fll000263",NA,NA,NA,0.129032258064516,NA,NA,NA
"fll000097",NA,NA,NA,0.0894308943089431,NA,NA,NA
"fll000494",0.995327102803738,NA,NA,NA,NA,NA,NA
"fll000221",NA,NA,NA,0.0975609756097561,NA,NA,NA
"fll000071",NA,NA,NA,0.0336134453781513,NA,NA,NA
"fll000087",NA,NA,NA,0,NA,NA,NA
"fll000020",NA,NA,NA,NA,NA,NA,0.91875
"fll000457",0.991071428571429,NA,NA,NA,NA,NA,NA
"fll000093",NA,NA,NA,0.0165289256198347,NA,NA,NA
"fll000225",NA,NA,NA,0.032520325203252,NA,NA,NA
"fll000305",NA,NA,NA,0.0247933884297521,NA,NA,NA
"fll000010",NA,0.992380952380952,0.968586387434555,0.965116279069767,0.958115183246073,0.924812030075188,0.925
"fll000026",0.961224489795918,0.977099236641221,0.970930232558139,0.966666666666667,0.980099502487562,0.919354838709677,0.919254658385093
"fll000042",NA,NA,NA,0.0175438596491228,NA,NA,NA
"fll000429",0.987704918032787,NA,NA,NA,NA,NA,NA
"fll000149",NA,NA,NA,0.0991735537190083,NA,NA,NA
"fll000017",NA,0.9921875,0.964071856287425,0.962962962962963,0.974226804123711,0.932330827067669,0.936708860759494
"fll000111",NA,NA,NA,0.00826446280991736,NA,NA,NA
"fll000076",NA,NA,NA,0.0166666666666667,NA,NA,NA
"fll000151",NA,NA,NA,0,NA,NA,NA
"fll000137",NA,NA,NA,0.146551724137931,NA,NA,NA
"fll000441",0.990671641791045,NA,NA,NA,NA,NA,NA
"fll000068",NA,NA,NA,0.0181818181818182,NA,NA,NA
"fll000430",0.992805755395683,NA,NA,NA,NA,NA,NA
"fll000118",NA,NA,NA,0.032258064516129,NA,NA,NA
"fll000223",NA,NA,NA,0.0887096774193548,NA,NA,NA
"fll000466",NA,NA,NA,NA,NA,NA,NA
"fll000008",NA,NA,NA,0.97752808988764,0.975369458128079,0.961832061068702,0.944099378881988
"fll000028",NA,NA,NA,NA,NA,0.962686567164179,0.943037974683544
"fll000029",NA,NA,NA,NA,NA,0.837209302325581,0.898089171974522
"fll000036",NA,0.956521739130435,0.956403269754768,0.578595317725752,0.945544554455445,0.881889763779528,0.89171974522293
"fll000007",NA,NA,NA,NA,NA,0.912,0.904761904761905
"fll000488",0.905882352941176,NA,NA,NA,NA,NA,NA
"fll000033",NA,0.968571428571429,0.952755905511811,0.96,0.954081632653061,0.880597014925373,0.883116883116883
"fll000156",NA,NA,NA,0.092436974789916,NA,NA,NA
"fll000433",0.975206611570248,NA,NA,NA,NA,NA,NA
"fll000319",NA,NA,NA,0.105691056910569,NA,NA,NA
"fll000004",NA,NA,NA,NA,NA,0.907692307692308,0.974522292993631
"fll000153",NA,NA,NA,0.1,NA,NA,NA
"fll000431",0.991596638655462,NA,NA,NA,NA,NA,NA
"fll000299",NA,NA,NA,0,NA,NA,NA
"fll000005",NA,NA,NA,NA,NA,0.922413793103448,0.918238993710692
"fll000085",NA,NA,NA,0.04,NA,NA,NA
"fll000300",NA,NA,NA,0.126126126126126,NA,NA,NA
"fll000078",NA,NA,NA,0.0725806451612903,NA,NA,NA
"fll000013",NA,NA,NA,NA,NA,0.924242424242424,0.955414012738854
"fll000229",NA,NA,NA,0.016260162601626,NA,NA,NA
"fll000325",NA,NA,NA,0.114754098360656,NA,NA,NA
"fll000216",NA,NA,NA,0.0975609756097561,NA,NA,NA
"fll000280",NA,NA,NA,0.0894308943089431,NA,NA,NA
"fll000314",NA,NA,NA,0.0967741935483871,NA,NA,NA
"fll000258",NA,NA,NA,0.00806451612903226,NA,NA,NA
"fll000136",NA,NA,NA,0.0168067226890756,NA,NA,NA
"fll000021",NA,NA,NA,NA,NA,0.962406015037594,0.93167701863354
"fll000230",NA,NA,NA,0.0840336134453782,NA,NA,NA
"fll000418",0.987012987012987,NA,NA,NA,NA,NA,NA
"fll000436",0.997442455242967,NA,NA,NA,NA,NA,NA
"fll000181",NA,0.989690721649485,0.987041036717063,0.976744186046512,0.98019801980198,NA,NA
